StudentID,Gender,Grade,Internet Access,Maths,Science,English,History,Computer,Attendance(%),Recommendation
S00001,Male,9,Yes,75,79,65,65,92,89,Eligible for Advanced Courses
S00002,Male,9,Yes,70,65,59,64,53,92,Needs Improvement
S00003,Male,12,Yes,54,60,47,44,78,67,Needs Improvement
S00004,Male,9,Yes,65,70,68,60,81,82,Needs Improvement
S00005,Female,10,Yes,63,75,61,54,79,78,Needs Improvement
S00006,Male,10,Yes,62,65,68,72,78,72,Needs Improvement
S00007,Male,10,No,60,64,59,70,76,83,Needs Improvement
S00008,Male,12,Yes,70,69,71,74,86,67,Needs Improvement
S00009,Female,9,Yes,67,70,57,59,59,76,Needs Improvement
S00010,Female,9,Yes,88,81,83,79,80,73,Needs Improvement
S00011,Female,10,Yes,96,100,73,97,100,88,Eligible for Advanced Courses
S00012,Male,10,No,63,72,70,78,73,82,Needs Improvement
S00013,Female,11,Yes,67,64,54,61,68,76,Needs Improvement
S00014,Female,9,Yes,63,63,49,62,72,94,Needs Improvement
S00015,Male,10,Yes,62,67,62,58,72,85,Needs Improvement
S00016,Male,11,No,100,100,94,81,100,89,Eligible for Advanced Courses
S00017,Male,9,No,99,100,94,86,100,85,Eligible for Advanced Courses
S00018,Male,10,No,82,93,72,86,100,92,Eligible for Advanced Courses
S00019,Female,10,Yes,62,58,45,56,55,75,Needs Improvement
S00020,Female,10,Yes,68,56,53,61,53,89,Needs Improvement
S00021,Female,12,No,85,94,90,93,85,87,Eligible for Advanced Courses
S00022,Male,10,Yes,78,77,74,66,83,71,Needs Improvement
S00023,Male,9,Yes,72,65,49,62,58,87,Needs Improvement
S00024,Female,9,Yes,88,97,90,93,100,92,Eligible for Advanced Courses
S00025,Female,11,No,56,56,55,58,68,82,Needs Improvement
S00026,Male,9,Yes,82,74,89,74,72,93,Eligible for Advanced Courses
S00027,Female,11,Yes,75,80,75,71,73,74,Needs Improvement
S00028,Female,9,No,65,62,47,57,70,69,Needs Improvement
S00029,Female,10,Yes,72,66,70,71,88,76,Needs Improvement
S00030,Female,10,Yes,50,57,53,53,98,95,Needs Improvement
S00031,Male,11,Yes,96,94,84,91,88,90,Eligible for Advanced Courses
S00032,Female,11,Yes,65,76,46,64,53,82,Needs Improvement
S00033,Male,9,Yes,88,82,77,87,85,80,Needs Improvement
S00034,Male,10,Yes,71,85,73,55,81,87,Needs Improvement
S00035,Male,11,Yes,79,83,82,84,76,78,Needs Improvement
